id,name,popularity,followers,genres
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,84,26026341,pop|r&b|soul
2wY79sveU1sp5g7SokKOiI,Sam Smith,91,21772766,pop|uk pop
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,67894367,pop
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,109461524,pop|uk pop
3y24n3XhZ96wgwRXjvS17T,Coolio,72,834102,g funk|gangster rap|hip hop|rap|west coast rap
3pFCERyEiP5xeN2EsPXhjI,Joe Cocker,67,2040503,blues rock|classic rock|mellow gold|rock|soft rock
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,81,8644567,dance pop|urban contemporary
4N8BwYTEC6XqykGvXXlmfv,George Benson,66,674777,adult standards|disco|jazz funk|jazz guitar|quiet storm|smooth jazz|soul jazz|yacht rock
0kObWap02DEg9EAJ3PBxzf,Starship,66,887006,album rock|mellow gold|new romantic|new wave pop|soft rock
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,79,6527338,disco|mellow gold|soft rock
0ECwFtbIWEVNwjlrfc6xoL,Eagles,78,9125576,album rock|classic rock|country rock|folk rock|heartland rock|mellow gold|rock|soft rock|yacht rock
2yzxX2DI9LFK8VFTyW2zZ8,Joe Satriani,55,591573,hard rock|instrumental rock|metal guitar|neo classical metal|shred
2jzc5TC5TVFLXQlBNiIUzE,a-ha,73,1928221,new romantic|new wave|new wave pop|permanent wave|pop rock|soft rock|synthpop
35U9lQaRWSQISxQAB94Meo,America,70,1524277,album rock|art rock|classic rock|country rock|folk rock|mellow gold|rock|soft rock
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,26044148,pop
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,86,15054444,piano rock|pop
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,86,40813283,canadian pop|dance pop|pop|viral pop
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,90,41885004,permanent wave|pop
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,98,58583855,canadian contemporary r&b|canadian pop|pop
5bmqhxWk9SEFDGIzWpSjVJ,THE DRIVER ERA,62,580736,modern alternative rock|pop
3PhoLpVuITZKcymswpck5b,Elton John,86,11001374,glam rock|mellow gold|piano rock
246dkjvS1zLTtiykXe5h60,Post Malone,90,39694755,dfw rap|melodic rap|rap
6NEekR0i3JC1r4BntSjskE,Call Me Loop,41,67960,uk pop
64KEffDW9EtZ1y2vBYgq8T,Marshmello,84,34848329,brostep|dance pop|edm|pop|pop dance|progressive electro house
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,79,3185678,german soundtrack|orchestral soundtrack|soundtrack
4vhgCDK6RHCBN6P3jPQlZX,Abbacadabra,28,3646,euro hi-nrg
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,82,37024438,electro house
1LsXqDdYVyONhrjAORENbu,Kaoma,57,50179,zouk
1yTWSP7tR6gp2vkstO7VI7,Ima,25,3360,pop quebecois
18MdCa6sJKKOf9JttVCdUC,Zeni N,46,7122,groove room
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,1798403,
6k6rMWRE4vit7gawbx9xdz,Microwave Monkeys,28,586,groove room
1l5ca6eEXIW8XHBIWPRnWC,Camishe,50,11916,
0GWK56VPgPOI7ysRyUi5nx,Belle Lawrence,17,1262,euro hi-nrg
4dpARuHxo51G3z768sgnrY,Adele,88,46345531,british soul|pop|pop soul|uk pop
7FtCyCJCJaxabYO7Uyda5B,Cannons,63,236516,
185m2EJWTIm36MdqguiU8T,Freischwimmer,48,10852,german dance|slap house
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,73,931659,melodic rap|rap|slap house
5JIgApvXvqq4KtnDLE9YBz,Demeter,49,10926,g-house
1OFThjZi3cSe14lBEBRsHZ,Emmanuel Motelin,19,370,
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,93,52798074,barbadian pop|dance pop|pop|urban contemporary
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,77,994414,dance pop|neo soul|pop
7mEIug7XUlQHikrFxjTWes,Neil Diamond,70,2270762,adult standards|brill building pop|classic rock|folk rock|mellow gold|singer-songwriter|soft rock|yacht rock
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,78,11079885,latin pop|mexican pop
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,80,3648668,gauze pop|indietronica|shiver pop
0fUFGy1Oy8f3ecf59YoB8O,Mauro,28,912,belgian rock
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,87,29500673,boy band|pop|post-teen pop|talent show
3iDD7bnsjL9J4fO298r0L0,Chicago,70,3462210,adult standards|album rock|classic rock|folk rock|mellow gold|soft rock|yacht rock
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,84,12875074,dance pop|hip pop|pop
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,68,2269561,alternative metal|funk metal|nu metal|pop rock|post-grunge
2yEkZBBjhzKzt6LF5XMaFi,Blue,63,540013,boy band|dance pop|europop
5lpH0xAS4fVfLkACg9DAuM,Wham!,73,2205979,europop|new romantic|new wave pop
70NcAr4ZtA3FAqU16iQZSb,dhruv,71,422286,chill r&b|nyc pop|pop
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,75,2702630,new romantic|new wave|new wave pop|permanent wave|sophisti-pop|synthpop
1uKcMFoPaE7DktLRi9u6y4,Thundatraxx,44,492,
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,66,1289712,adult standards|hollywood|mellow gold|soft rock
0Suv0tRrNrUlRzAy8aXjma,Haddaway,64,289346,bubblegum dance|eurodance|europop|hip house
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,71,1626151,australian dance|australian pop|dance pop|electropop|eurodance|europop|new wave pop|pop
4J3wzDMI97AlGimdiVcaLb,Crazy Frog,60,361951,eurodance
5x2uSbE1afrYyEUD0GqNmT,The Boomtang Boys,24,895,
5xWPOujQqd4wXyB08slZ9Z,Peter Cetera,63,825733,adult standards|mellow gold|new wave pop|soft rock